timestart,timeend,confidence,target
2019-03-19 16:13:35.000,2019-03-19 16:13:39.979,1.0,-1
2019-03-19 16:13:40.000,2019-03-19 16:13:44.979,1.0,-1
2019-03-19 16:13:45.000,2019-03-19 16:13:49.979,1.0,-1
2019-03-19 16:13:50.000,2019-03-19 16:13:54.979,1.0,-1
2019-03-19 16:13:55.000,2019-03-19 16:13:59.979,1.0,-1
2019-03-19 16:14:00.000,2019-03-19 16:14:04.980,1.0,-1
2019-03-19 16:14:05.000,2019-03-19 16:14:09.979,1.0,-1
2019-03-19 16:14:10.000,2019-03-19 16:14:14.979,1.0,-1
2019-03-19 16:14:15.000,2019-03-19 16:14:19.979,1.0,-1
2019-03-19 16:14:20.000,2019-03-19 16:14:24.979,1.0,-1
2019-03-19 16:14:25.000,2019-03-19 16:14:29.979,1.0,-1
2019-03-19 16:14:30.000,2019-03-19 16:14:34.979,1.0,-1
2019-03-19 16:14:35.000,2019-03-19 16:14:39.979,1.0,-1
2019-03-19 16:14:40.000,2019-03-19 16:14:44.979,1.0,-1
2019-03-19 16:14:45.000,2019-03-19 16:14:49.979,1.0,-1
2019-03-19 16:14:50.000,2019-03-19 16:14:54.979,1.0,-1
2019-03-19 16:14:55.000,2019-03-19 16:14:59.979,1.0,-1
2019-03-19 16:15:00.000,2019-03-19 16:15:04.980,1.0,-1
2019-03-19 16:15:05.000,2019-03-19 16:15:09.979,1.0,-1
2019-03-19 16:15:10.000,2019-03-19 16:15:14.979,1.0,-1
2019-03-19 16:15:15.000,2019-03-19 16:15:19.979,1.0,-1
2019-03-19 16:15:20.000,2019-03-19 16:15:24.979,1.0,-1
2019-03-19 16:15:25.000,2019-03-19 16:15:29.979,1.0,-1
2019-03-19 16:15:30.000,2019-03-19 16:15:34.979,1.0,-1
2019-03-19 16:15:35.000,2019-03-19 16:15:39.979,1.0,-1
2019-03-19 16:15:40.000,2019-03-19 16:15:44.979,1.0,-1
2019-03-19 16:15:45.000,2019-03-19 16:15:49.979,1.0,-1
2019-03-19 16:15:50.000,2019-03-19 16:15:54.979,1.0,-1
2019-03-19 16:15:55.000,2019-03-19 16:15:59.979,1.0,-1
2019-03-19 16:16:00.000,2019-03-19 16:16:04.980,1.0,-1
2019-03-19 16:16:05.000,2019-03-19 16:16:09.979,1.0,-1
2019-03-19 16:16:10.000,2019-03-19 16:16:14.979,1.0,-1
2019-03-19 16:16:15.000,2019-03-19 16:16:19.979,1.0,-1
2019-03-19 16:16:20.000,2019-03-19 16:16:24.979,1.0,-1
2019-03-19 16:16:25.000,2019-03-19 16:16:29.979,1.0,-1
2019-03-19 16:16:30.000,2019-03-19 16:16:34.979,1.0,-1
2019-03-19 16:16:35.000,2019-03-19 16:16:39.979,1.0,-1
2019-03-19 16:16:40.000,2019-03-19 16:16:44.979,1.0,-1
2019-03-19 16:16:45.000,2019-03-19 16:16:49.979,1.0,-1
2019-03-19 16:16:50.000,2019-03-19 16:16:54.979,1.0,-1
2019-03-19 16:16:55.000,2019-03-19 16:16:59.979,1.0,-1
2019-03-19 16:17:00.000,2019-03-19 16:17:04.980,1.0,-1
2019-03-19 16:17:05.000,2019-03-19 16:17:09.979,1.0,-1
2019-03-19 16:17:10.000,2019-03-19 16:17:14.979,1.0,-1
2019-03-19 16:17:15.000,2019-03-19 16:17:19.979,1.0,-1
2019-03-19 16:17:20.000,2019-03-19 16:17:24.979,1.0,-1
2019-03-19 16:17:25.000,2019-03-19 16:17:29.979,1.0,-1
2019-03-19 16:17:30.000,2019-03-19 16:17:34.979,1.0,-1
2019-03-19 16:17:35.000,2019-03-19 16:17:39.979,1.0,-1
2019-03-19 16:17:40.000,2019-03-19 16:17:44.979,1.0,-1
2019-03-19 16:17:45.000,2019-03-19 16:17:49.979,1.0,-1
2019-03-19 16:17:50.000,2019-03-19 16:17:54.979,1.0,-1
2019-03-19 16:17:55.000,2019-03-19 16:17:59.979,1.0,-1
2019-03-19 16:18:00.000,2019-03-19 16:18:04.980,1.0,-1
2019-03-19 16:18:05.000,2019-03-19 16:18:09.979,1.0,-1
2019-03-19 16:18:10.000,2019-03-19 16:18:14.979,1.0,-1
2019-03-19 16:18:15.000,2019-03-19 16:18:19.979,1.0,-1
2019-03-19 16:18:20.000,2019-03-19 16:18:24.979,1.0,-1
2019-03-19 16:18:25.000,2019-03-19 16:18:29.979,1.0,-1
2019-03-19 16:18:30.000,2019-03-19 16:18:34.979,1.0,-1
2019-03-19 16:18:35.000,2019-03-19 16:18:39.979,1.0,-1
2019-03-19 16:18:40.000,2019-03-19 16:18:44.979,1.0,-1
2019-03-19 16:18:45.000,2019-03-19 16:18:49.979,1.0,-1
2019-03-19 16:18:50.000,2019-03-19 16:18:54.979,1.0,-1
2019-03-19 16:18:55.000,2019-03-19 16:18:59.979,1.0,-1
2019-03-19 16:19:00.000,2019-03-19 16:19:04.980,1.0,-1
2019-03-19 16:19:05.000,2019-03-19 16:19:09.979,1.0,-1
2019-03-19 16:19:10.000,2019-03-19 16:19:14.979,1.0,-1
2019-03-19 16:19:15.000,2019-03-19 16:19:19.979,1.0,-1
2019-03-19 16:19:20.000,2019-03-19 16:19:24.979,1.0,-1
2019-03-19 16:19:25.000,2019-03-19 16:19:29.979,1.0,-1
2019-03-19 16:19:30.000,2019-03-19 16:19:34.979,1.0,-1
2019-03-19 16:19:35.000,2019-03-19 16:19:39.979,1.0,-1
2019-03-19 16:19:40.000,2019-03-19 16:19:44.979,1.0,-1
2019-03-19 16:19:45.000,2019-03-19 16:19:49.979,1.0,-1
2019-03-19 16:19:50.000,2019-03-19 16:19:54.979,1.0,-1
2019-03-19 16:19:55.000,2019-03-19 16:19:59.979,1.0,-1
